variable_transformada
numericas__duracion_ms
numericas__bailabilidad
numericas__energia
numericas__volumen_db
numericas__presencia_habla
numericas__acusticidad
numericas__instrumentalidad
numericas__presencia_en_vivo
numericas__positividad
numericas__tempo_bpm
categoricas__contenido_explicito_False
categoricas__contenido_explicito_True
categoricas__tonalidad_0
categoricas__tonalidad_1
categoricas__tonalidad_2
categoricas__tonalidad_3
categoricas__tonalidad_4
categoricas__tonalidad_5
categoricas__tonalidad_6
categoricas__tonalidad_7
categoricas__tonalidad_8
categoricas__tonalidad_9
categoricas__tonalidad_10
categoricas__tonalidad_11
categoricas__modo_0
categoricas__modo_1
categoricas__genero_musical_acoustic
categoricas__genero_musical_afrobeat
categoricas__genero_musical_alt-rock
categoricas__genero_musical_alternative
categoricas__genero_musical_ambient
categoricas__genero_musical_anime
categoricas__genero_musical_black-metal
categoricas__genero_musical_bluegrass
categoricas__genero_musical_blues
categoricas__genero_musical_brazil
categoricas__genero_musical_breakbeat
categoricas__genero_musical_british
categoricas__genero_musical_cantopop
categoricas__genero_musical_chicago-house
categoricas__genero_musical_children
categoricas__genero_musical_chill
categoricas__genero_musical_classical
categoricas__genero_musical_club
categoricas__genero_musical_comedy
categoricas__genero_musical_country
categoricas__genero_musical_dance
categoricas__genero_musical_dancehall
categoricas__genero_musical_death-metal
categoricas__genero_musical_deep-house
categoricas__genero_musical_detroit-techno
categoricas__genero_musical_disco
categoricas__genero_musical_disney
categoricas__genero_musical_drum-and-bass
categoricas__genero_musical_dub
categoricas__genero_musical_dubstep
categoricas__genero_musical_edm
categoricas__genero_musical_electro
categoricas__genero_musical_electronic
categoricas__genero_musical_emo
categoricas__genero_musical_folk
categoricas__genero_musical_forro
categoricas__genero_musical_french
categoricas__genero_musical_funk
categoricas__genero_musical_garage
categoricas__genero_musical_german
categoricas__genero_musical_gospel
categoricas__genero_musical_goth
categoricas__genero_musical_grindcore
categoricas__genero_musical_groove
categoricas__genero_musical_grunge
categoricas__genero_musical_guitar
categoricas__genero_musical_happy
categoricas__genero_musical_hard-rock
categoricas__genero_musical_hardcore
categoricas__genero_musical_hardstyle
categoricas__genero_musical_heavy-metal
categoricas__genero_musical_hip-hop
categoricas__genero_musical_honky-tonk
categoricas__genero_musical_house
categoricas__genero_musical_idm
categoricas__genero_musical_indian
categoricas__genero_musical_indie
categoricas__genero_musical_indie-pop
categoricas__genero_musical_industrial
categoricas__genero_musical_iranian
categoricas__genero_musical_j-dance
categoricas__genero_musical_j-idol
categoricas__genero_musical_j-pop
categoricas__genero_musical_j-rock
categoricas__genero_musical_jazz
categoricas__genero_musical_k-pop
categoricas__genero_musical_kids
categoricas__genero_musical_latin
categoricas__genero_musical_latino
categoricas__genero_musical_malay
categoricas__genero_musical_mandopop
categoricas__genero_musical_metal
categoricas__genero_musical_metalcore
categoricas__genero_musical_minimal-techno
categoricas__genero_musical_mpb
categoricas__genero_musical_new-age
categoricas__genero_musical_opera
categoricas__genero_musical_pagode
categoricas__genero_musical_party
categoricas__genero_musical_piano
categoricas__genero_musical_pop
categoricas__genero_musical_pop-film
categoricas__genero_musical_power-pop
categoricas__genero_musical_progressive-house
categoricas__genero_musical_psych-rock
categoricas__genero_musical_punk
categoricas__genero_musical_punk-rock
categoricas__genero_musical_r-n-b
categoricas__genero_musical_reggae
categoricas__genero_musical_reggaeton
categoricas__genero_musical_rock
categoricas__genero_musical_rock-n-roll
categoricas__genero_musical_rockabilly
categoricas__genero_musical_romance
categoricas__genero_musical_sad
categoricas__genero_musical_salsa
categoricas__genero_musical_samba
categoricas__genero_musical_sertanejo
categoricas__genero_musical_show-tunes
categoricas__genero_musical_singer-songwriter
categoricas__genero_musical_ska
categoricas__genero_musical_sleep
categoricas__genero_musical_songwriter
categoricas__genero_musical_soul
categoricas__genero_musical_spanish
categoricas__genero_musical_study
categoricas__genero_musical_swedish
categoricas__genero_musical_synth-pop
categoricas__genero_musical_tango
categoricas__genero_musical_techno
categoricas__genero_musical_trance
categoricas__genero_musical_trip-hop
categoricas__genero_musical_turkish
categoricas__genero_musical_world-music
compas__compas_1.0
compas__compas_3.0
compas__compas_4.0
compas__compas_5.0
